enunciados	F01	F02	pausa1	F03	F04	pausa2	F05	F06	pausa3	F07	F08	pausa4	F09	F010	pausa5	F011	F012	pausa6	F013	F014	pausa7	F015	F016	pausa8
ENUNCIADO1	163.7	187.5	0.35	179.4	182.1	0	175.5	191.2	0	174.8	179.3	0	191.5	200.9	0	197.1	204.7	0.92						
ENUNCIADO2	264.8	253	0	183.9	156.8	0																		
ENUNCIADO3	163.9	189.6	0	150.7	152	0	142.2	155.7	1.35															
ENUNCIADO4	283	276.2	0	264.2	284.2	0	283.1	290.5	0	292.7	295.1	1.28												
ENUNCIADO5	252.9	259.2	0	274.2	270.4	0	266.6	273.5	0	289.5	293.5	0.35												
ENUNCIADO6	152.3	167.9	0	175.2	154.6	0	153.4	168.8	0	176.1	151.5	0	150.3	148.2	0.43	140.6	134.6	0	151	125	1.25			
ENUNCIADO7	231.4	215	0	228	188.3	0.14	202	199.3	0	179.9	168.1	0												
ENUNCIADO8	258.5	271.2	0	273.1	289	0	310.1	314.1	0	259.7	284.4	0	221.9	223.3	0.52									
ENUNCIADO9	197.4	215.3	0.24	204.1	242.6	0.57																		
ENUNCIADO10	235.9	271.5	0	239.7	270.2	0.15	267.6	272.5	0	265	289.2	0.37												
ENUNCIADO11	158.7	154.3	0	169.1	162.9	0	165	186.3	0	156.8	184.2	0.37												
ENUNCIADO12	239.3	234.9	0.16	244.5	248.8	0.55																		
ENUNCIADO13	181	195	0	185.5	184.3	0.28	182	192.8	0	175.5	193.9	0	182.9	191.2	0.62	190.6	205.3	0						
ENUNCIADO14	237.6	238.1	0	235.5	242.8	0	254.1	273.1	0.65	267.7	255.4	0	222.8	240.9	0	186.5	200.1	1.14						
ENUNCIADO15	219.5	233.5	0	190.8	202.2	0	171.7	191.9	0	187.8	206.9	0	218.9	221.2	0.93									
ENUNCIADO16	181.9	209.3	0	172.6	212	0.5	186.4	218.3	0	202.7	215.3	0	196.9	205.5	0									
ENUNCIADO17	283.5	295.8	0	274.3	265.3	0	225.1	252.3	0	258.2	265.7	0	287.8	271.7	0									
ENUNCIADO18	203.6	203	0	210.8	220.1	0	213.1	197.4	0	233.4	221	0	221	214.9	0	211.6	186.5	0	193.1	188.9	0	185.6	174.1	0.64
ENUNCIADO19	269.7	253.1	0	308.8	316.4	0	358.5	361.7	0	314	287.2	0	243.5	244.9	1.05									
ENUNCIADO20	252.3	260.4	0	264.2	252.1	0	263.5	278.6	0	293.7	266.4	1.08												
ENUNCIADO21	155.9	175.4	0	207.9	244.8	0																		
ENUNCIADO22	239.5	277.3	0	274.5	313.1	0	304.6	334.5	0															
ENUNCIADO23	172.5	161.4	0	156.8	173.6	0	161.1	165.9	0	148.3	176	0												
ENUNCIADO24	260	248.8	0	252.8	244.2	0	251.6	219.4	0	236.1	205.8	0	235.4	195.2	0	229.6	192	0	216.8	176.3	0.64			
ENUNCIADO25	170.4	183.5	0	162.5	137.9	0.17	120.2	142.6	0	151.3	146.6	0	137.7	159.1	0									
ENUNCIADO26	296	273.9	0	271.4	247.8	0	258.1	233.7	0	225.9	201	0	208.9	174.7	1.2									
ENUNCIADO27	283.5	268.6	0	277.5	249.5	0	251.3	245.2	0.86	254.2	212.6	0	219.7	181.1	0	221.7	183.1	0						
ENUNCIADO28	252.7	271.3	0.61	250.4	273.9	0	249.1	290.2	0.38	283.5	305.7	0.25	290.8	309.2	0	291.5	330.1	0	308.1	341.1	0			
ENUNCIADO29	224	231.3	0	228.2	245.5	0	243.1	257.4	0	215.9	246.3	0	237.4	245.7	0	240.3	255.5	0	239.8	261.3	0.45			
ENUNCIADO30	174.8	177.5	0	192.2	198.1	0	187.7	224	0	190.8	225.4	0	209.2	219.1	0.51	208.9	241.1	0	243.9	248.1	0	217.8	245.9	0
ENUNCIADO31	165.2	189.9	0.52	198.1	214.4	0.72	214.7	226.5	0	216.6	230.7	0												
ENUNCIADO32	204.4	199.7	0	176.3	140.3	0																		
ENUNCIADO33	271.4	246.7	0.21	260.6	243.7	0.37	226.8	213.7	0	238.2	220	0.37	210.6	205	1.05									
ENUNCIADO34	309.6	277	0.36	286.5	273.5	0	275.1	265.4	0	266.5	247.5	0.48	260.6	236.3	0	231.5	213.7	0	226.8	221.9	0			
